year,team,conference,elo
2019,Northern Illinois,Mid-American,1224
2019,North Texas,Conference USA,1326
2019,Northwestern,Big Ten,1492
2019,Notre Dame,FBS Independents,2000
2019,Ohio,Mid-American,1613
2019,Ohio State,Big Ten,2369
2019,Oklahoma,Big 12,1906
2019,Oklahoma State,Big 12,1644
2019,Old Dominion,Conference USA,1056
2019,Ole Miss,SEC,1587
2019,Oregon,Pac-12,2010
2019,Oregon State,Pac-12,1361
2019,Penn State,Big Ten,1990
2019,Pittsburgh,ACC,1505
2019,Purdue,Big Ten,1488
2019,Rice,Conference USA,1210
2019,Rutgers,Big Ten,1094
2019,San Diego State,Mountain West,1619
2019,San José State,Mountain West,1278
2019,SMU,American Athletic,1586
2019,South Alabama,Sun Belt,1090
2019,South Carolina,SEC,1497
2019,Southern Miss,Conference USA,1427
2019,South Florida,American Athletic,1253
2019,Stanford,Pac-12,1454
2019,Syracuse,ACC,1472
2019,TCU,Big 12,1625
2019,Temple,American Athletic,1367
2019,Tennessee,SEC,1567
2019,Texas,Big 12,1866
2019,Texas A&M,SEC,1721
2019,Texas State,Sun Belt,1039
2019,Texas Tech,Big 12,1537
2019,Toledo,Mid-American,1160
2019,Troy,Sun Belt,1332
2019,Tulane,American Athletic,1546
2019,Tulsa,American Athletic,1370
2019,UAB,Conference USA,1348
2019,UCF,American Athletic,1886
2019,UCLA,Pac-12,1372
2019,UConn,American Athletic,877
2019,UL Monroe,Sun Belt,1208
2019,UNLV,Mountain West,1177
2019,USC,Pac-12,1640
2019,Utah,Pac-12,1831
2019,Utah State,Mountain West,1392
2019,UTEP,Conference USA,968
2019,UTSA,Conference USA,1083
2019,Vanderbilt,SEC,1183
2019,Virginia,ACC,1663
2019,Virginia Tech,ACC,1684
2019,Wake Forest,ACC,1515
2019,Washington,Pac-12,1890
2019,Washington State,Pac-12,1657
2019,Western Kentucky,Conference USA,1523
2019,Western Michigan,Mid-American,1478
2019,West Virginia,Big 12,1510
2019,Wisconsin,Big Ten,2021
2019,Wyoming,Mountain West,1567
2020,Air Force,Mountain West,1675
2020,Akron,Mid-American,905
2020,Alabama,SEC,2398
2020,App State,Sun Belt,1739
2020,Arizona,Pac-12,1167
2020,Arizona State,Pac-12,1715
2020,Arkansas,SEC,1376
2020,Arkansas State,Sun Belt,1305
2020,Army,FBS Independents,1574
2020,Auburn,SEC,1747
2020,Ball State,Mid-American,1588
2020,Baylor,Big 12,1537
2020,Boise State,Mountain West,1653
2020,Boston College,ACC,1505
2020,Bowling Green,Mid-American,812
2020,Buffalo,Mid-American,1717
2020,BYU,FBS Independents,2005
2020,California,Pac-12,1442
2020,Central Michigan,Mid-American,1407
2020,Charlotte,Conference USA,1299
2020,Cincinnati,American Athletic,1926
2020,Clemson,ACC,2163
2020,Coastal Carolina,Sun Belt,1704
2020,Colorado,Pac-12,1419
2020,Colorado State,Mountain West,1344
2020,Duke,ACC,1192
2020,East Carolina,American Athletic,1354
2020,Eastern Michigan,Mid-American,1382
